fourSeven	sevenNine	fourNine	fourSevenNine
UBC	144.061688311688	125.673295454545	174.825892857143	148.186958874459
ATP5O	229.694805194805	282.221590909091	266.098214285714	259.338203463203
RPS27A	421.558441558442	375.647727272727	372.660714285714	389.955627705628
CCT8	145.418831168831	187.360795454545	263.870535714286	198.883387445887
TUBB4B	96.8279220779221	44.3948863636364	66.4955357142857	69.2394480519481
ASAH1	91.6363636363636	111.448863636364	143.8125	115.632575757576
DNAJA1	161.094155844156	177.303977272727	120.852678571429	153.083603896104
IFITM2	111.616883116883	132.732954545455	22.2589285714286	88.8695887445887
PLS3	106.038961038961	84.1505681818182	40.8258928571429	77.0051406926407
TPM3	125.850649350649	161.573863636364	78.1517857142857	121.858766233766
P4HB	183.457792207792	98.5738636363636	95.7589285714286	125.930194805195
NGFRAP1	365.688311688312	438.639204545455	389.236607142857	397.854707792208
SPTBN1	182.798701298701	197.914772727273	87.2589285714286	155.990800865801
FRZB	0	75.65625	75.65625	50.4375
NID1	43.6363636363636	49.3238636363636	5.6875	32.8825757575758
GFRA3	49.3571428571429	14.15625	63.5133928571429	42.3422619047619
SYPL1	100.428571428571	142.59375	136.022321428571	126.348214285714
REG3G	210.590909090909	2.09090909090909	208.5	140.393939393939
THY1	32.3084415584416	32.2727272727273	0.0357142857142857	21.538961038961
LAPTM4B	82.0292207792208	243.980113636364	325.736607142857	217.248647186147
YWHAH	151.87012987013	150.508522727273	17.9241071428571	106.767586580087
CDS2	49.1785714285714	30.9375	60.1160714285714	46.7440476190476
COL5A2	10.5194805194805	13.2784090909091	4.61607142857143	9.47132034632035
TSC22D3	63.4545454545455	81.7045454545455	18.25	54.469696969697
PSMA2	229.62987012987	262.053977272727	201.138392857143	230.940746753247
POSTN	0	0	0	0
RGS5	24.8668831168831	30.6392045454545	7.41517857142857	20.9737554112554
DAZAP2	150.659090909091	149.690340909091	214.53125	171.626893939394
OLFML3	0	34.125	34.125	22.75
MDH1	165.061688311688	158.673295454545	245.825892857143	189.853625541126
CD59	69.2012987012987	145.928977272727	208.584821428571	141.238365800866
RPL7A	294.383116883117	289.423295454545	392.897321428571	325.567911255411
MARCKS	83.2012987012987	106.053977272727	43.7098214285714	77.6550324675325
PFN2	106.438311688312	77.3267045454545	44.6741071428571	76.1463744588745
RBM39	109.055194805195	170.715909090909	187.589285714286	155.786796536797
ATP6V0B	146.613636363636	146.988636363636	195.875	163.159090909091
GSTM3	134.064935064935	211.167613636364	273.959821428571	206.397456709957
UQCRC1	112.957792207792	112.261363636364	131.946428571429	119.055194805195
C20orf30	205.801948051948	276.346590909091	156.330357142857	212.826298701299
COX4I1	374.600649350649	398.761363636364	335.089285714286	369.483766233766
SMARCE1	78.8214285714286	135.53125	93.3526785714286	102.568452380952
PTTG1IP	152.37012987013	156.321022727273	60.2366071428571	122.97591991342
TIMP1	123.987012987013	131.460227272727	12.9017857142857	89.4496753246753
RPS12	402.042207792208	377.394886363636	271.709821428571	350.382305194805
TPM1	37.6233766233766	53.7840909090909	46.5892857142857	45.9989177489177
